iter	Logloss
0	0.6516496738
1	0.6223271688
2	0.5889530182
3	0.5605422656
4	0.5312692324
5	0.5016845465
6	0.4876171748
7	0.4697976112
8	0.4610912402
9	0.4468337695
10	0.4318318367
11	0.4169057608
12	0.4054746628
13	0.3941777547
14	0.3838965495
15	0.3753685554
16	0.3653539022
17	0.3576937914
18	0.3456739187
19	0.3378850619
20	0.3269248406
21	0.319244206
22	0.3114490509
23	0.3053698142
24	0.2976335684
25	0.2924315532
26	0.2879278461
27	0.2808807095
28	0.2749683062
29	0.27150925
30	0.2675932844
31	0.2646851937
32	0.2600710988
33	0.2541217208
34	0.2488796314
35	0.2446589271
36	0.2407057881
37	0.2367654641
38	0.2320835988
39	0.2271442016
40	0.2231149673
41	0.2204868197
42	0.2184474866
43	0.2162227631
44	0.2120153904
45	0.2086458802
46	0.2049657702
47	0.2015891472
48	0.1990482211
49	0.1964360476
50	0.194074591
51	0.1915889581
52	0.1886257331
53	0.1860471964
54	0.1837799549
55	0.1810280085
56	0.1785499255
57	0.1751751304
58	0.1728755832
59	0.1707503398
60	0.1695915659
61	0.1661904752
62	0.1632696489
63	0.1615285079
64	0.1600511571
65	0.1582888166
66	0.157228291
67	0.1556309362
68	0.1537100077
69	0.1523987254
70	0.1515299877
71	0.149396052
72	0.1475410163
73	0.1450799207
74	0.143796285
75	0.1421018243
76	0.1395727595
77	0.138411204
78	0.136967967
79	0.1341194908
80	0.1318510075
81	0.1296175122
82	0.1281255186
83	0.1270386974
84	0.1241946618
85	0.1229934891
86	0.1218164364
87	0.1207077901
88	0.1190747221
89	0.1180813809
90	0.1163786848
91	0.1148144901
92	0.1135762135
93	0.1117252906
94	0.1103338202
95	0.1083027124
96	0.1067516903
97	0.1057800353
98	0.1043724914
99	0.1035178999
100	0.1019396683
101	0.1001008054
102	0.09885018071
103	0.0971574982
104	0.09610009193
105	0.09455623229
106	0.09394642711
107	0.09277550379
108	0.09188999732
109	0.09078332782
110	0.08940098683
111	0.08877503872
112	0.08757960796
113	0.08693333467
114	0.08608406782
115	0.0844676892
116	0.08363723755
117	0.08248322705
118	0.08154301842
119	0.08052335183
120	0.0794244806
121	0.07853970925
122	0.07746463021
123	0.07597134511
124	0.07504451772
125	0.07411316534
126	0.07324524721
127	0.07257987062
128	0.07207868497
129	0.0715076228
130	0.07064954937
131	0.06990429262
132	0.06896393994
133	0.06783200304
134	0.06659561396
135	0.06587317586
136	0.06530791521
137	0.06448192398
138	0.06345374386
139	0.06290395061
140	0.06212961177
141	0.06141832471
142	0.06060898304
143	0.06014642616
144	0.05959763626
145	0.05888285736
146	0.05834878484
147	0.05763755242
148	0.05726466576
149	0.05662672222
150	0.05587529143
151	0.05548374852
152	0.05488354961
153	0.05439657966
154	0.0537374268
155	0.05319666862
156	0.05253401895
157	0.05211619536
158	0.05164364974
159	0.05110533039
160	0.05073558291
161	0.05018693209
162	0.04976147413
163	0.04911773403
164	0.04866180817
165	0.04824252923
166	0.04776784778
167	0.04735425115
168	0.04689166447
169	0.04645172755
170	0.04590639472
171	0.04523498813
172	0.04485975703
173	0.04438118637
174	0.04387669762
175	0.04340022802
176	0.04289574921
177	0.04234497249
178	0.04188344379
179	0.04168545206
180	0.04130683839
181	0.0409903576
182	0.04076888164
183	0.04046801726
184	0.04017625252
185	0.03972356021
186	0.03939428926
187	0.03894220789
188	0.03862300515
189	0.0383216391
190	0.03782503804
191	0.03756080071
192	0.0371861731
193	0.03677877784
194	0.03655893852
195	0.03627924373
196	0.03585426013
197	0.03554178774
198	0.03528450678
199	0.03489079078
200	0.03456616898
201	0.03424302985
202	0.03401123981
203	0.03380513191
204	0.03357532124
205	0.03322915236
206	0.03293766081
207	0.03276168307
208	0.0325123618
209	0.03214787443
210	0.03188619266
211	0.03154981633
212	0.03135307382
213	0.03110385686
214	0.03083411853
215	0.03063904742
216	0.03033053378
217	0.03012772153
218	0.02985080828
219	0.0296476384
220	0.0295162648
221	0.02931387226
222	0.02900764098
223	0.02887672434
224	0.02857916554
225	0.02844962478
226	0.02821174761
227	0.02802312622
228	0.02785499394
229	0.02773360411
230	0.02762320141
231	0.02744209766
232	0.02734636515
233	0.027106978
234	0.02696592112
235	0.02674667041
236	0.02653654168
237	0.02636917681
238	0.02615843713
239	0.02602055172
240	0.02585472663
241	0.0257038946
242	0.02562053502
243	0.02548094839
244	0.02529952923
245	0.02512445052
246	0.02492932975
247	0.0247247691
248	0.02460202575
249	0.02445500096
